Starting featured image processing at Wed Feb 11 04:58:22 PM CST 2026
FAIL: 2016/03/26 - no featured image URL found in HTML
SKIP: 2016/03/29/import-an-excel-file-into-powerbi - already has featured image
SUCCESS: 2016/04/01 - created featured.png and thumbnail.png
SUCCESS: 2016/04/07 - created featured.png and thumbnail.png
SUCCESS: 2016/04/11 - created featured.png and thumbnail.png
SUCCESS: 2016/04/13 - created featured.png and thumbnail.png
INFO: 2016/04/14 - downloading image from https://powerbitips03.blob.core.windows.net/blobpowerbitips03/wp-content/uploads/2016/04/Map-Feature-Image.png
SUCCESS: 2016/04/14 - created featured.png and thumbnail.png
SUCCESS: 2016/04/20 - created featured.png and thumbnail.png
SUCCESS: 2016/04/27 - created featured.png and thumbnail.png
SUCCESS: 2016/05/02 - created featured.png and thumbnail.png
SUCCESS: 2016/05/07 - created featured.png and thumbnail.png
SUCCESS: 2016/05/19 - created featured.png and thumbnail.png
SUCCESS: 2016/05/27 - created featured.png and thumbnail.png
SUCCESS: 2016/06/10 - created featured.png and thumbnail.png
SUCCESS: 2016/06/16 - created featured.png and thumbnail.png
SUCCESS: 2016/07/14 - created featured.png and thumbnail.png
SUCCESS: 2016/07/28 - created featured.png and thumbnail.png
SUCCESS: 2016/08/04 - created featured.png and thumbnail.png
SUCCESS: 2016/08/10 - created featured.png and thumbnail.png
INFO: 2016/08/30 - downloading image from https://powerbitips03.blob.core.windows.net/blobpowerbitips03/wp-content/uploads/2017/04/Calendars-Curbal.png
SUCCESS: 2016/08/30 - created featured.png and thumbnail.png
SUCCESS: 2016/08/31 - created featured.png and thumbnail.png
SUCCESS: 2016/09/01 - created featured.png and thumbnail.png
INFO: 2016/09/15 - downloading image from https://powerbitips03.blob.core.windows.net/blobpowerbitips03/wp-content/uploads/2016/09/R-Feature-Image.png
SUCCESS: 2016/09/15 - created featured.png and thumbnail.png
SUCCESS: 2016/09/21 - created featured.png and thumbnail.png
SUCCESS: 2016/09/27 - created featured.png and thumbnail.png
SUCCESS: 2016/09/30 - created featured.png and thumbnail.png
SUCCESS: 2016/10/03 - created featured.png and thumbnail.png
INFO: 2016/10/04 - downloading image from https://powerbitips03.blob.core.windows.net/blobpowerbitips03/wp-content/uploads/2016/10/Feature.png
SUCCESS: 2016/10/04 - created featured.png and thumbnail.png
SUCCESS: 2016/10/10 - created featured.png and thumbnail.png
SUCCESS: 2016/10/17 - created featured.png and thumbnail.png
SUCCESS: 2016/11/16 - created featured.png and thumbnail.png
SUCCESS: 2016/12/05 - created featured.png and thumbnail.png
SUCCESS: 2016/12/23 - created featured.png and thumbnail.png
SUCCESS: 2017/02/07 - created featured.png and thumbnail.png
SUCCESS: 2017/02/16 - created featured.png and thumbnail.png
SUCCESS: 2017/02/21 - created featured.png and thumbnail.png
INFO: 2017/02/28 - downloading image from https://powerbitips03.blob.core.windows.net/blobpowerbitips03/wp-content/uploads/2017/02/Embed-a-Dashboard-Guy-in-a-Cube.png
SUCCESS: 2017/02/28 - created featured.png and thumbnail.png
SUCCESS: 2017/03/05 - created featured.png and thumbnail.png
SUCCESS: 2017/03/06 - created featured.png and thumbnail.png
SUCCESS: 2017/03/21 - created featured.png and thumbnail.png
INFO: 2017/03/28 - downloading image from https://powerbitips03.blob.core.windows.net/blobpowerbitips03/wp-content/uploads/2017/04/Multiple-Sign-ins.png
SUCCESS: 2017/03/28 - created featured.png and thumbnail.png
SUCCESS: 2017/04/04 - created featured.png and thumbnail.png
SUCCESS: 2017/04/05 - created featured.png and thumbnail.png
SUCCESS: 2017/04/06 - created featured.png and thumbnail.png
INFO: 2017/05/03 - downloading image from https://powerbitips03.blob.core.windows.net/blobpowerbitips03/wp-content/uploads/2017/05/Microsoft-May-17-Update.png
SUCCESS: 2017/05/03 - created featured.png and thumbnail.png
SUCCESS: 2017/05/05 - created featured.png and thumbnail.png
SUCCESS: 2017/06/10 - created featured.png and thumbnail.png
SUCCESS: 2017/06/13 - created featured.png and thumbnail.png
SUCCESS: 2017/07/03 - created featured.png and thumbnail.png
INFO: 2017/07/05 - downloading image from https://powerbitips03.blob.core.windows.net/blobpowerbitips03/wp-content/uploads/2017/07/Use-Two-Relationships-Between-Tables.png
SUCCESS: 2017/07/05 - created featured.png and thumbnail.png
SUCCESS: 2017/07/25 - created featured.png and thumbnail.png
SUCCESS: 2017/08/11 - created featured.png and thumbnail.png
INFO: 2017/08/14 - downloading image from https://powerbitips03.blob.core.windows.net/blobpowerbitips03/wp-content/uploads/2017/08/Sharing-Reports.png
SUCCESS: 2017/08/14 - created featured.png and thumbnail.png
SUCCESS: 2017/09/08 - created featured.png and thumbnail.png
INFO: 2017/10/11 - downloading image from https://powerbitips03.blob.core.windows.net/blobpowerbitips03/wp-content/uploads/2017/10/World-Tour.png
SUCCESS: 2017/10/11 - created featured.png and thumbnail.png
INFO: 2017/10/12 - downloading image from https://powerbitips03.blob.core.windows.net/blobpowerbitips03/wp-content/uploads/2017/10/World-Tour.png
SUCCESS: 2017/10/12 - created featured.png and thumbnail.png
SUCCESS: 2017/10/16 - created featured.png and thumbnail.png
SUCCESS: 2017/11/01 - created featured.png and thumbnail.png
INFO: 2017/11/14 - downloading image from https://powerbitips03.blob.core.windows.net/blobpowerbitips03/wp-content/uploads/2017/11/Fix-Stacked-Bar-Chart-Labels.png
SUCCESS: 2017/11/14 - created featured.png and thumbnail.png
SUCCESS: 2017/11/16 - created featured.png and thumbnail.png
SUCCESS: 2017/11/24 - created featured.png and thumbnail.png
SUCCESS: 2017/12/20 - created featured.png and thumbnail.png
SUCCESS: 2017/12/29 - created featured.png and thumbnail.png
SUCCESS: 2018/01/15 - created featured.png and thumbnail.png
SUCCESS: 2018/01/16 - created featured.png and thumbnail.png
SUCCESS: 2018/01/19 - created featured.png and thumbnail.png
SUCCESS: 2018/01/31 - created featured.png and thumbnail.png
SUCCESS: 2018/02/14 - created featured.png and thumbnail.png
SUCCESS: 2018/02/21 - created featured.png and thumbnail.png
INFO: 2018/02/26 - downloading image from https://powerbitips03.blob.core.windows.net/blobpowerbitips03/wp-content/uploads/2018/02/Live-Connection.png
SUCCESS: 2018/02/26 - created featured.png and thumbnail.png
SUCCESS: 2018/04/18 - created featured.png and thumbnail.png
SUCCESS: 2018/04/23 - created featured.png and thumbnail.png
SUCCESS: 2018/05/17 - created featured.png and thumbnail.png
SUCCESS: 2018/06/06 - created featured.png and thumbnail.png
SUCCESS: 2018/06/20 - created featured.png and thumbnail.png
SUCCESS: 2018/06/22 - created featured.png and thumbnail.png
SUCCESS: 2018/07/09 - created featured.png and thumbnail.png
INFO: 2018/07/17 - downloading image from https://powerbitips03.blob.core.windows.net/blobpowerbitips03/wp-content/uploads/2018/07/Tic-Tac-Toe-1.png
SUCCESS: 2018/07/17 - created featured.png and thumbnail.png
SUCCESS: 2018/07/28 - created featured.png and thumbnail.png
INFO: 2018/07/30 - downloading image from https://powerbitips03.blob.core.windows.net/blobpowerbitips03/wp-content/uploads/2018/07/Purple-Haze-1.png
SUCCESS: 2018/07/30 - created featured.png and thumbnail.png
SUCCESS: 2018/08/21 - created featured.png and thumbnail.png
SUCCESS: 2018/09/04 - created featured.png and thumbnail.png
SUCCESS: 2018/09/10 - created featured.png and thumbnail.png
SUCCESS: 2018/09/10 - created featured.png and thumbnail.png
SUCCESS: 2018/09/10 - created featured.png and thumbnail.png
SUCCESS: 2018/09/10 - created featured.png and thumbnail.png
SUCCESS: 2018/09/10 - created featured.png and thumbnail.png
SUCCESS: 2018/10/02 - created featured.png and thumbnail.png
INFO: 2018/11/13 - downloading image from https://powerbitips03.blob.core.windows.net/blobpowerbitips03/wp-content/uploads/2018/11/Power-BI-Data-Flows.png
SUCCESS: 2018/11/13 - created featured.png and thumbnail.png
SUCCESS: 2018/11/26 - created featured.png and thumbnail.png
SUCCESS: 2018/12/04 - created featured.png and thumbnail.png
SUCCESS: 2019/01/21 - created featured.png and thumbnail.png
SUCCESS: 2019/02/12 - created featured.png and thumbnail.png
INFO: 2019/03/21 - downloading image from https://powerbitips03.blob.core.windows.net/blobpowerbitips03/wp-content/uploads/2019/03/Smooth-Operator-1.png
SUCCESS: 2019/03/21 - created featured.png and thumbnail.png
SUCCESS: 2019/05/01 - created featured.png and thumbnail.png
SUCCESS: 2019/06/20 - created featured.png and thumbnail.png
SUCCESS: 2019/06/20 - created featured.png and thumbnail.png
INFO: 2019/07/03 - downloading image from https://powerbitips03.blob.core.windows.net/blobpowerbitips03/wp-content/uploads/2019/07/Quick-Access-Toolbar.png
SUCCESS: 2019/07/03 - created featured.png and thumbnail.png
INFO: 2019/07/11 - downloading image from https://powerbitips03.blob.core.windows.net/blobpowerbitips03/wp-content/uploads/2019/07/Dynamic-Time-Matrix-Header.png
SUCCESS: 2019/07/11 - created featured.png and thumbnail.png
SUCCESS: 2019/07/18 - created featured.png and thumbnail.png
SUCCESS: 2019/08/08 - created featured.png and thumbnail.png
INFO: 2019/08/30 - downloading image from https://powerbitips03.blob.core.windows.net/blobpowerbitips03/wp-content/uploads/2019/08/One-Post-Image.png
SUCCESS: 2019/08/30 - created featured.png and thumbnail.png
SUCCESS: 2019/09/03 - created featured.png and thumbnail.png
SUCCESS: 2019/09/11 - created featured.png and thumbnail.png
SUCCESS: 2019/09/17 - created featured.png and thumbnail.png
SUCCESS: 2019/09/26 - created featured.png and thumbnail.png
SUCCESS: 2019/09/30 - created featured.png and thumbnail.png
SUCCESS: 2019/10/02 - created featured.png and thumbnail.png
SUCCESS: 2019/10/08 - created featured.png and thumbnail.png
SUCCESS: 2019/10/15 - created featured.png and thumbnail.png
SUCCESS: 2019/10/22 - created featured.png and thumbnail.png
SUCCESS: 2019/10/23 - created featured.png and thumbnail.png
SUCCESS: 2019/10/29 - created featured.png and thumbnail.png
SUCCESS: 2019/10/30 - created featured.png and thumbnail.png
SUCCESS: 2019/11/05 - created featured.png and thumbnail.png
SUCCESS: 2019/11/09 - created featured.png and thumbnail.png
INFO: 2019/11/12 - downloading image from https://powerbitips03.blob.core.windows.net/blobpowerbitips03/wp-content/uploads/2019/11/Consolidate-Report-Pages.png
SUCCESS: 2019/11/12 - created featured.png and thumbnail.png
SUCCESS: 2019/11/20 - created featured.png and thumbnail.png
SUCCESS: 2019/11/27 - created featured.png and thumbnail.png
SUCCESS: 2019/12/06 - created featured.png and thumbnail.png
SUCCESS: 2019/12/21 - created featured.png and thumbnail.png
SUCCESS: 2019/12/23 - created featured.png and thumbnail.png
SUCCESS: 2020/01/14 - created featured.png and thumbnail.png
SUCCESS: 2020/01/16 - created featured.png and thumbnail.png
SUCCESS: 2020/01/22 - created featured.png and thumbnail.png
SUCCESS: 2020/01/29 - created featured.png and thumbnail.png
SUCCESS: 2020/02/04 - created featured.png and thumbnail.png
SUCCESS: 2020/02/04 - created featured.png and thumbnail.png
SUCCESS: 2020/02/10 - created featured.png and thumbnail.png
SUCCESS: 2020/02/12 - created featured.png and thumbnail.png
SUCCESS: 2020/02/17 - created featured.png and thumbnail.png
INFO: 2020/03/04 - downloading image from https://powerbitips03.blob.core.windows.net/blobpowerbitips03/wp-content/uploads/2020/03/Versatile-Main.png
SUCCESS: 2020/03/04 - created featured.png and thumbnail.png
SUCCESS: 2020/03/23 - created featured.png and thumbnail.png
SUCCESS: 2020/04/02 - created featured.png and thumbnail.png
